symbol,base,category,semantic_first_authority_ts,semantic_last_authority_ts,observed_official_snapshots,first_rank_day,last_rank_day,ranked_days,top_100_eligible_days,minimum_rank,maximum_rank,maximum_valid_prior_days,cohort_version,cohort_hash,survivorship_free_claim,continuous_tradeability_claim,exact_quote_volume_claim
PF_TIAUSD,TIA,Layer 1,2023-12-10 00:16:14+00:00,2026-07-17 00:00:00+00:00,8,2023-12-30 00:00:00+00:00,2025-12-31 00:00:00+00:00,733,733,9,56,30,c01_mechanism_proof_top100_close_based_proxy_v1_20260717,768b09c731a728e31ce1d882862878c698cbf19e6883b1d0fe02505edb619f15,False,False,False
PF_TLMUSD,TLM,Gaming,2024-12-07 02:16:51+00:00,2026-07-17 00:00:00+00:00,6,2024-12-27 00:00:00+00:00,2025-12-31 00:00:00+00:00,370,0,157,253,30,c01_mechanism_proof_top100_close_based_proxy_v1_20260717,768b09c731a728e31ce1d882862878c698cbf19e6883b1d0fe02505edb619f15,False,False,False
PF_TNSRUSD,TNSR,Web3,2024-12-07 02:16:51+00:00,2026-07-17 00:00:00+00:00,6,2024-12-27 00:00:00+00:00,2025-12-31 00:00:00+00:00,370,0,113,233,30,c01_mechanism_proof_top100_close_based_proxy_v1_20260717,768b09c731a728e31ce1d882862878c698cbf19e6883b1d0fe02505edb619f15,False,False,False
PF_TRBUSD,TRB,DeFi,2024-12-07 02:16:51+00:00,2026-07-17 00:00:00+00:00,6,2024-12-27 00:00:00+00:00,2025-12-31 00:00:00+00:00,370,50,57,186,30,c01_mechanism_proof_top100_close_based_proxy_v1_20260717,768b09c731a728e31ce1d882862878c698cbf19e6883b1d0fe02505edb619f15,False,False,False
PF_TRUMPUSD,TRUMP,Meme,2025-02-08 03:03:05+00:00,2026-07-17 00:00:00+00:00,5,2025-02-28 00:00:00+00:00,2025-12-31 00:00:00+00:00,307,307,6,72,30,c01_mechanism_proof_top100_close_based_proxy_v1_20260717,768b09c731a728e31ce1d882862878c698cbf19e6883b1d0fe02505edb619f15,False,False,False
PF_TRUUSD,TRU,DeFi,2024-04-17 12:34:20+00:00,2026-07-17 00:00:00+00:00,6,2024-05-08 00:00:00+00:00,2025-12-31 00:00:00+00:00,603,232,57,220,30,c01_mechanism_proof_top100_close_based_proxy_v1_20260717,768b09c731a728e31ce1d882862878c698cbf19e6883b1d0fe02505edb619f15,False,False,False
PF_TRXUSD,TRX,Layer 1,2023-02-23 08:48:16+00:00,2026-07-17 00:00:00+00:00,8,2023-03-15 00:00:00+00:00,2025-12-31 00:00:00+00:00,1023,1023,12,80,30,c01_mechanism_proof_top100_close_based_proxy_v1_20260717,768b09c731a728e31ce1d882862878c698cbf19e6883b1d0fe02505edb619f15,False,False,False
PF_TURBOUSD,TURBO,Community,2024-12-07 02:16:51+00:00,2026-07-17 00:00:00+00:00,5,2024-12-27 00:00:00+00:00,2025-12-31 00:00:00+00:00,370,363,34,102,30,c01_mechanism_proof_top100_close_based_proxy_v1_20260717,768b09c731a728e31ce1d882862878c698cbf19e6883b1d0fe02505edb619f15,False,False,False
PF_TUSD,T,DeFi,2024-12-07 02:16:51+00:00,2026-07-17 00:00:00+00:00,5,2024-12-27 00:00:00+00:00,2025-12-31 00:00:00+00:00,370,0,134,253,30,c01_mechanism_proof_top100_close_based_proxy_v1_20260717,768b09c731a728e31ce1d882862878c698cbf19e6883b1d0fe02505edb619f15,False,False,False
PF_UMAUSD,UMA,DeFi,2024-04-17 12:34:20+00:00,2026-07-17 00:00:00+00:00,6,2024-05-07 00:00:00+00:00,2025-12-31 00:00:00+00:00,604,229,52,197,30,c01_mechanism_proof_top100_close_based_proxy_v1_20260717,768b09c731a728e31ce1d882862878c698cbf19e6883b1d0fe02505edb619f15,False,False,False
PF_UNIUSD,UNI,DeFi,2023-02-23 08:48:16+00:00,2026-07-17 00:00:00+00:00,8,2023-03-15 00:00:00+00:00,2025-12-31 00:00:00+00:00,1023,1023,5,37,30,c01_mechanism_proof_top100_close_based_proxy_v1_20260717,768b09c731a728e31ce1d882862878c698cbf19e6883b1d0fe02505edb619f15,False,False,False
PF_USUALUSD,USUAL,DeFi,2025-03-23 23:24:48+00:00,2026-07-17 00:00:00+00:00,4,2025-04-12 00:00:00+00:00,2025-12-31 00:00:00+00:00,264,14,96,178,30,c01_mechanism_proof_top100_close_based_proxy_v1_20260717,768b09c731a728e31ce1d882862878c698cbf19e6883b1d0fe02505edb619f15,False,False,False
PF_VELOUSD,VELO,DeFi,2025-03-23 23:24:48+00:00,2026-07-17 00:00:00+00:00,4,2025-04-12 00:00:00+00:00,2025-12-31 00:00:00+00:00,264,0,163,248,30,c01_mechanism_proof_top100_close_based_proxy_v1_20260717,768b09c731a728e31ce1d882862878c698cbf19e6883b1d0fe02505edb619f15,False,False,False
