model,fold,target,train_n,test_n,t_test_start,t_test_end,slice,state,n,pos_rate,auc,avg_precision,logloss,brier,accuracy@0.5,precision@0.5,recall@0.5,mean_pnl_R,top10_n,top10_mean_pnl_R,top10_winrate,top10_timerate
lgbm,1,y_good_05,6751,1358,2023-11-07 17:45:00+00:00,2024-03-03 10:05:00+00:00,S3_funding_x_oi,6,458.0,0.2794759825327511,0.7763494318181817,0.5497304598560244,0.5693624701322623,0.17841009238208935,0.7510917030567685,0.6060606060606061,0.3125,0.13310168685586737,45.0,2.0701522970827084,0.7111111111111111,0.26666666666666666
lgbm,1,y_good_05,6751,1358,2023-11-07 17:45:00+00:00,2024-03-03 10:05:00+00:00,S3_funding_x_oi,8,357.0,0.2605042016806723,0.781891495601173,0.5453780019715869,0.5260324548336942,0.16491071863724996,0.7647058823529411,0.6097560975609756,0.26881720430107525,0.15184827337799067,35.0,1.8726126222596917,0.6571428571428571,0.17142857142857143
lgbm,1,y_good_05,6751,1358,2023-11-07 17:45:00+00:00,2024-03-03 10:05:00+00:00,S4_crowd_x_trend1d,3,1358.0,0.28276877761413843,0.7683173981861738,0.5574879993222713,0.5725181279548696,0.17934080364971958,0.7503681885125184,0.6153846153846154,0.3125,0.20089779432826335,135.0,2.0438326608301094,0.6962962962962963,0.21481481481481482
lgbm,1,y_good_05,6751,1358,2023-11-07 17:45:00+00:00,2024-03-03 10:05:00+00:00,S5_btcRisk_x_regimeUp,4,326.0,0.2791411042944785,0.7728314238952536,0.5168650601137127,0.5974135374952014,0.18894019652110522,0.745398773006135,0.6052631578947368,0.25274725274725274,0.15956210125338416,32.0,1.4932026204896562,0.59375,0.25
lgbm,1,y_good_05,6751,1358,2023-11-07 17:45:00+00:00,2024-03-03 10:05:00+00:00,S5_btcRisk_x_regimeUp,5,618.0,0.3478964401294498,0.7641872006463153,0.6181593808390166,0.6114343575072615,0.1997187544337416,0.6990291262135923,0.6058394160583942,0.386046511627907,0.49588529312445373,61.0,2.2340572883301606,0.7213114754098361,0.19672131147540983
lgbm,1,y_good_05,6751,1358,2023-11-07 17:45:00+00:00,2024-03-03 10:05:00+00:00,S6_fresh_x_compress,8,294.0,0.282312925170068,0.7882715696910867,0.5609843587664107,0.5518508793875441,0.17618759740314185,0.7448979591836735,0.5869565217391305,0.3253012048192771,0.23399676150239965,29.0,2.0669194741874306,0.6551724137931034,0.10344827586206896
lgbm,1,y_good_05,6751,1358,2023-11-07 17:45:00+00:00,2024-03-03 10:05:00+00:00,S6_fresh_x_compress,7,381.0,0.26246719160104987,0.7659786476868327,0.5316623868734468,0.5510568053443784,0.1739851801536591,0.7532808398950132,0.56,0.28,0.10312448036828956,38.0,1.9602884559323968,0.6842105263157895,0.21052631578947367
lgbm,1,y_good_05,6751,1358,2023-11-07 17:45:00+00:00,2024-03-03 10:05:00+00:00,S6_fresh_x_compress,6,430.0,0.3186046511627907,0.7553623477242719,0.6047291067064094,0.6201743133886741,0.19238388434772666,0.7372093023255814,0.6764705882352942,0.3357664233576642,0.2990542515995527,43.0,2.290015938451345,0.7209302325581395,0.20930232558139536
lgbm,2,y_good_05,6753,1358,2024-03-03 10:15:00+00:00,2024-09-24 00:00:00+00:00,S1_regime_code_1d,3,847.0,0.18536009445100354,0.7438659651066186,0.38497472766667873,0.48303930841893217,0.14298701969393637,0.8146399055489965,0.5,0.2229299363057325,-0.2796997861223744,84.0,1.0515447624937966,0.5476190476190477,0.2976190476190476
lgbm,2,y_good_05,6753,1358,2024-03-03 10:15:00+00:00,2024-09-24 00:00:00+00:00,S1_regime_code_1d,2,282.0,0.16666666666666666,0.7239474875509282,0.3351638771555537,0.45872147043287714,0.1367580108862979,0.8333333333333334,0.5,0.3191489361702128,-0.29142281134961845,28.0,0.961247670260129,0.5357142857142857,0.32142857142857145
lgbm,2,y_good_05,6753,1358,2024-03-03 10:15:00+00:00,2024-09-24 00:00:00+00:00,S2_markov_x_vol1d,0,854.0,0.1955503512880562,0.749496639907957,0.41166029694764317,0.49601924313050366,0.14738386341499266,0.8056206088992974,0.5063291139240507,0.23952095808383234,-0.2142075158273132,85.0,1.1075424676492953,0.5529411764705883,0.2823529411764706
lgbm,2,y_good_05,6753,1358,2024-03-03 10:15:00+00:00,2024-09-24 00:00:00+00:00,S2_markov_x_vol1d,1,291.0,0.24398625429553264,0.8073623559539053,0.6139875839570563,0.45795982073192454,0.14149425875952604,0.8144329896907216,0.6808510638297872,0.4507042253521127,-0.015608188801272056,29.0,2.363784092084774,0.8275862068965517,0.2413793103448276
lgbm,2,y_good_05,6753,1358,2024-03-03 10:15:00+00:00,2024-09-24 00:00:00+00:00,S3_funding_x_oi,6,415.0,0.2289156626506024,0.7565131578947368,0.539963457123258,0.5214714495735874,0.15181721665030404,0.7927710843373494,0.5918367346938775,0.30526315789473685,-0.07732674622716063,41.0,1.7271854382769292,0.6829268292682927,0.2926829268292683
lgbm,2,y_good_05,6753,1358,2024-03-03 10:15:00+00:00,2024-09-24 00:00:00+00:00,S3_funding_x_oi,7,391.0,0.17902813299232737,0.7906542056074768,0.46813962485850946,0.4086901012207432,0.125907424755118,0.8363171355498721,0.6071428571428571,0.24285714285714285,-0.2753595718281056,39.0,0.9494815848934501,0.5384615384615384,0.2564102564102564
lgbm,2,y_good_05,6753,1358,2024-03-03 10:15:00+00:00,2024-09-24 00:00:00+00:00,S3_funding_x_oi,8,323.0,0.19504643962848298,0.7515262515262515,0.45290647833544717,0.4779649938060424,0.1409692744851321,0.8235294117647058,0.575,0.36507936507936506,-0.15377297175078766,32.0,1.607414106993775,0.6875,0.3125
lgbm,2,y_good_05,6753,1358,2024-03-03 10:15:00+00:00,2024-09-24 00:00:00+00:00,S4_crowd_x_trend1d,3,1129.0,0.18069087688219662,0.7355749867514573,0.36532188448380537,0.4769652337403959,0.1414311468119576,0.8193091231178034,0.5,0.24509803921568626,-0.2826279465422883,112.0,1.0199611283681993,0.5535714285714286,0.3125
lgbm,2,y_good_05,6753,1358,2024-03-03 10:15:00+00:00,2024-09-24 00:00:00+00:00,S4_crowd_x_trend1d,2,229.0,0.3406113537117904,0.7718627950416029,0.6835570619234449,0.594599363072149,0.18371688482306578,0.7510917030567685,0.7333333333333333,0.4230769230769231,0.2926757790672537,22.0,2.991711156315965,0.8636363636363636,0.18181818181818182
