family_id,symbol,event_count,event_share,rank
KDA01,PF_GIGAUSD,246,9.321306574362997e-05,174
KDA01,PF_COOKIEUSD,212,8.03299590961364e-05,175
KDA01,PF_ARKMUSD,173,6.555227794165847e-05,176
KDA01,PF_USUALUSD,168,6.365770343467412e-05,177
KDA01,PF_BANANAUSD,162,6.138421402629291e-05,178
KDA01,PF_IOUSD,159,6.0247469322102294e-05,179
KDA01,PF_IOTAUSD,144,5.456374580114925e-05,180
KDA01,PF_SPKUSD,103,3.902823484387759e-05,181
KDA01,PF_ZETAUSD,100,3.7891490139686975e-05,182
KDA01,PF_COTIUSD,59,2.2355979182415318e-05,183
KDA01,PF_MOVRUSD,53,2.00824897740341e-05,184
KDA01,PF_NEOUSD,26,9.851787436318615e-06,185
KDA01,PF_AKTUSD,3,1.1367447041906093e-06,186
KDA01,PF_BBUSD,2,7.578298027937396e-07,187
KDA02,PF_LTCUSD,23603,0.018848743683279136,1
KDA02,PF_SOLUSD,23472,0.018744130480613817,2
KDA02,PF_XBTUSD,23454,0.01872975614742316,3
KDA02,PF_XRPUSD,23375,0.018666668796197508,4
KDA02,PF_DOGEUSD,23333,0.018633128685419314,5
KDA02,PF_ADAUSD,22988,0.018357620632598434,6
KDA02,PF_ETHUSD,22712,0.018137214190341727,7
KDA02,PF_LINKUSD,22638,0.01807811970944681,8
KDA02,PF_CRVUSD,21848,0.0174472461971903,9
KDA02,PF_AVAXUSD,21714,0.017340237272326534,10
KDA02,PF_BCHUSD,21694,0.017324265791003584,11
KDA02,PF_ATOMUSD,21432,0.017115039385672944,12
KDA02,PF_DOTUSD,21032,0.016795609759213948,13
KDA02,PF_UNIUSD,20945,0.016726133815459118,14
KDA02,PF_XMRUSD,19150,0.015292693366724376,15
KDA02,PF_FILUSD,19008,0.015179295849331434,16
KDA02,PF_AAVEUSD,18427,0.014715324316899744,17
KDA02,PF_NEARUSD,17726,0.014155523896530355,18
KDA02,PF_ARBUSD,17163,0.01370592669728932,19
KDA02,PF_OPUSD,16999,0.013574960550441132,20
KDA02,PF_PEPEUSD,16818,0.013430418644468436,21
KDA02,PF_SUIUSD,16715,0.013348165515655246,22
KDA02,PF_INJUSD,16522,0.013194040720888782,23
KDA02,PF_WLDUSD,16229,0.012960058519507567,24
KDA02,PF_TIAUSD,15463,0.012348350784838593,25
KDA02,PF_APEUSD,15386,0.012286860581745235,26
KDA02,PF_RUNEUSD,15329,0.012241341859974829,27
KDA02,PF_SHIBUSD,15304,0.012221377508321142,28
KDA02,PF_ICPUSD,15157,0.012103987120597461,29
KDA02,PF_XLMUSD,15120,0.012074439880150004,30
KDA02,PF_BNBUSD,15075,0.012038504047173368,31
KDA02,PF_GALAUSD,14796,0.011815701882718218,32
KDA02,PF_LDOUSD,14230,0.01136370896127874,33
KDA02,PF_WIFUSD,13765,0.010992372020520159,34
KDA02,PF_APTUSD,13576,0.010841441522018285,35
KDA02,PF_BONKUSD,13444,0.010736029745286816,36
KDA02,PF_KASUSD,12429,0.009925477068147117,37
KDA02,PF_STXUSD,12333,0.009848813957796958,38
KDA02,PF_ENSUSD,12200,0.009742603606999342,39
KDA02,PF_ALGOUSD,12191,0.009735416440404014,40
KDA02,PF_ONDOUSD,12184,0.009729826421940983,41
KDA02,PF_ZECUSD,11966,0.00955573727552083,42
KDA02,PF_JASMYUSD,11815,0.00943515259153256,43
KDA02,PF_SUSHIUSD,11310,0.009031872688128079,44
KDA02,PF_SNXUSD,11140,0.008896115096883006,45
KDA02,PF_AXSUSD,10880,0.00868848583968466,46
KDA02,PF_SEIUSD,10737,0.008574289748225569,47
KDA02,PF_MANAUSD,10733,0.008571095451960978,48
KDA02,PF_JUPUSD,10407,0.008310760306396898,49
KDA02,PF_TRXUSD,9904,0.007909077551124712,50
KDA02,PF_FETUSD,9819,0.007841198755502175,51
KDA02,PF_LPTUSD,9791,0.007818838681650045,52
KDA02,PF_PYTHUSD,9563,0.007636763794568418,53
KDA02,PF_DASHUSD,9549,0.007625583757642353,54
KDA02,PF_DYDXUSD,9311,0.007435523129899252,55
KDA02,PF_GRTUSD,9240,0.00737882437120278,56
KDA02,PF_THETAUSD,9084,0.007254246816883772,57
KDA02,PF_POPCATUSD,8656,0.006912457116572648,58
KDA02,PF_ORDIUSD,8532,0.0068134339323703596,59
KDA02,PF_TAOUSD,8515,0.006799858173245852,60
KDA02,PF_MOODENGUSD,8189,0.006539523027681771,61
KDA02,PF_GOATUSD,8035,0.0064165426214950584,62
KDA02,PF_ENAUSD,8022,0.006406161158635141,63
KDA02,PF_XTZUSD,7744,0.006184157568246139,64
KDA02,PF_HBARUSD,7575,0.006049198551067214,65
KDA02,PF_YFIUSD,7263,0.005800043442429199,66
KDA02,PF_FARTCOINUSD,7196,0.005746538979997317,67
KDA02,PF_IMXUSD,7074,0.005649112943927323,68
KDA02,PF_TRUMPUSD,6957,0.005555679778188068,69
KDA02,PF_RENDERUSD,6869,0.005485405260367089,70
KDA02,PF_HYPEUSD,6349,0.005070146745970395,71
KDA02,PF_CHZUSD,6182,0.004936784876923765,72
KDA02,PF_STRKUSD,6173,0.0049295977103284375,73
KDA02,PF_PENGUUSD,6069,0.004846546007449099,74
KDA02,PF_JTOUSD,6041,0.00482418593359697,75
KDA02,PF_ETCUSD,5994,0.004786652952488037,76
KDA02,PF_FLOKIUSD,5821,0.004648499639044522,77
KDA02,PF_STORJUSD,5783,0.004618153824530917,78
KDA02,PF_KAVAUSD,5735,0.004579822269355838,79
KDA02,PF_TURBOUSD,5721,0.004568642232429774,80
KDA02,PF_COMPUSD,5666,0.004524720658791661,81
KDA02,PF_PNUTUSD,5601,0.004472813344492075,82
KDA02,PF_VIRTUALUSD,5535,0.004420107456126341,83
KDA02,PF_WUSD,5478,0.004374588734355934,84
KDA02,PF_BLURUSD,5291,0.004225255383986354,85
KDA02,PF_SPXUSD,5224,0.004171750921554473,86
KDA02,PF_1INCHUSD,5023,0.004011237534258827,87
KDA02,PF_BRETTUSD,5015,0.0040048489417296475,88
KDA02,PF_GMTUSD,4977,0.003974503127216043,89
KDA02,PF_ICXUSD,4779,0.0038163854621188404,90
KDA02,PF_MEWUSD,4763,0.003803608277060481,91
KDA02,PF_KSMUSD,4687,0.003742916648033272,92
KDA02,PF_POLUSD,4603,0.003675836426476883,93
KDA02,PF_QNTUSD,4418,0.003528100224239598,94
KDA02,PF_LRCUSD,4274,0.0034131055587143595,95
KDA02,PF_CFXUSD,4197,0.003351615355621003,96
