definition_id,family_id,state,symbol,feasible_row_count
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_DOGEUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_DOGEUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_DOGEUSD,1240
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_DOGUSD,13094
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_DOGUSD,11556
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_DOGUSD,111
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_DOTUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_DOTUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_DOTUSD,1649
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_DYDXUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_DYDXUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_DYDXUSD,113
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_DYMUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_DYMUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_DYMUSD,106
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_EGLDUSD,1701
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_EGLDUSD,3029
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_EGLDUSD,0
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_EIGENUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_EIGENUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_EIGENUSD,6
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_ENAUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_ENAUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_ENAUSD,618
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_ENSUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_ENSUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_ENSUSD,192
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_ETCUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_ETCUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_ETCUSD,7
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_ETHFIUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_ETHFIUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_ETHFIUSD,0
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_ETHUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_ETHUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_ETHUSD,730
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_ETHWUSD,4067
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_ETHWUSD,15995
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_ETHWUSD,0
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_FARTCOINUSD,114
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_FARTCOINUSD,58
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_FARTCOINUSD,306
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_FETUSD,649
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_FETUSD,480
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_FETUSD,820
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_FILUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_FILUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_FILUSD,1746
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_FLOKIUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_FLOKIUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_FLOKIUSD,521
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_FLOWUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_FLOWUSD,253
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_FLOWUSD,0
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_FLRUSD,9946
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_FLRUSD,31635
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_FLRUSD,11
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_GALAUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_GALAUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_GALAUSD,1254
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_GIGAUSD,720
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_GIGAUSD,2001
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_GIGAUSD,0
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_GMTUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_GMTUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_GMTUSD,137
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_GMXUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_GMXUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_GMXUSD,26
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_GOATUSD,629
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_GOATUSD,550
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_GOATUSD,622
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_GRASSUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_GRASSUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_GRASSUSD,86
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_GRIFFAINUSD,568
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_GRIFFAINUSD,382
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_GRIFFAINUSD,217
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_GRTUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_GRTUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_GRTUSD,450
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_HBARUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_HBARUSD,0
