year,symbol,exact_aligned_rows,trade_coverage_rows,mark_coverage_rows,analytics_coverage_rows,eligible_rows,first_usable_ts,last_usable_ts
2024,PF_DASHUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_DASHUSD,104833,104833,104833,104833,68545,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_DEEPUSD,13436,13436,13436,13436,0,2024-11-15 08:20:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_DEEPUSD,104833,104833,104833,104833,23040,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_DEGENUSD,13585,13585,13585,13585,0,2024-11-14 19:55:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_DEGENUSD,104833,104833,104833,104833,18720,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_DOGEUSD,86257,86257,86257,86257,84096,2023-03-07 11:55:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_DOGEUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_DOGEUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_DOGUSD,13599,13599,13599,13599,1440,2024-11-14 18:45:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_DOGUSD,104833,104833,104833,104833,48960,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_DOTUSD,86259,86259,86259,86259,84096,2023-03-07 11:45:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_DOTUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_DOTUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_DYDXUSD,86260,86260,86260,86260,84096,2023-03-07 11:40:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_DYDXUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_DYDXUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_DYMUSD,94277,94277,94277,94277,67392,2024-02-08 15:35:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_DYMUSD,104833,104833,104833,104833,6624,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_EGLDUSD,86259,86259,86259,86259,84096,2023-03-07 11:45:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_EGLDUSD,105408,105408,105408,105408,103968,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_EGLDUSD,104833,104833,104833,104833,16993,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_EIGENUSD,24013,24013,24013,24013,1440,2024-10-09 14:55:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_EIGENUSD,104833,104833,104833,104833,53568,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_ENAUSD,72382,72382,72382,72382,1440,2024-04-24 16:10:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_ENAUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_ENSUSD,86257,86257,86257,86257,84096,2023-03-07 11:55:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_ENSUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_ENSUSD,104833,104833,104833,104833,100225,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_ETCUSD,86257,86257,86257,86257,84096,2023-03-07 11:55:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_ETCUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_ETCUSD,104833,104833,104833,104833,78337,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_ETHFIUSD,67797,67797,67797,67797,1440,2024-05-10 14:15:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_ETHFIUSD,104833,104833,104833,104833,80641,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_ETHUSD,86260,86260,86260,86260,86260,2023-03-07 11:40:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_ETHUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_ETHUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_ETHWUSD,86232,86232,86232,86232,84096,2023-03-07 14:00:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_ETHWUSD,105408,105408,105408,105408,96192,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_ETHWUSD,104833,104833,104833,104833,0,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2025,PF_FARTCOINUSD,99117,99117,99117,99117,88129,2025-01-20 20:20:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_FETUSD,81616,81616,81616,81616,576,2023-03-23 14:40:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_FETUSD,105408,105408,105408,105408,50976,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_FETUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_FILUSD,86260,86260,86260,86260,84096,2023-03-07 11:40:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_FILUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_FILUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_FLOKIUSD,66323,66323,66323,66323,1440,2024-05-15 17:05:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_FLOKIUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_FLOWUSD,86233,86233,86233,86233,84096,2023-03-07 13:55:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_FLOWUSD,105408,105408,105408,105408,103968,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_FLOWUSD,104833,104833,104833,104833,0,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_FLRUSD,86260,86260,86260,86260,84096,2023-03-07 11:40:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_FLRUSD,105408,105408,105408,105408,103680,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_FLRUSD,104833,104833,104833,104833,288,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_GALAUSD,86257,86257,86257,86257,84096,2023-03-07 11:55:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_GALAUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_GALAUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_GIGAUSD,5259,5259,5259,5259,0,2024-12-13 17:45:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_GIGAUSD,104833,104833,104833,104833,4608,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_GMTUSD,86259,86259,86259,86259,84096,2023-03-07 11:45:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_GMTUSD,105408,105408,105408,105408,104832,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_GMTUSD,104833,104833,104833,104833,45793,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_GMXUSD,85839,85839,85839,85839,576,2023-03-08 22:45:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_GMXUSD,105408,105408,105408,105408,103968,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_GMXUSD,104833,104833,104833,104833,13248,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_GOATUSD,19622,19622,19622,19622,1440,2024-10-24 20:50:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_GOATUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_GRASSUSD,13557,13557,13557,13557,0,2024-11-14 22:15:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_GRASSUSD,104833,104833,104833,104833,85248,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2025,PF_GRIFFAINUSD,98589,98589,98589,98589,68256,2025-01-22 16:20:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_GRTUSD,86260,86260,86260,86260,84096,2023-03-07 11:40:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_GRTUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_GRTUSD,104833,104833,104833,104833,56737,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_HBARUSD,54518,54518,54518,54518,1440,2024-06-25 16:50:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_HBARUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
