feature,slice,state,n_bin0,n_bin9,mean_pnl_R_bin0,mean_pnl_R_bin9,delta_mean_pnl_R,time_rate_bin0,time_rate_bin9,delta_time_rate,mean_pnl_R_not_time_bin0,mean_pnl_R_not_time_bin9,delta_mean_pnl_R_not_time,spearman_pnl_R,spearman_time_rate,rank_abs_delta_pnl,rank_pnl_minus_time
asset_rsi_15m,ALL,0,815,815,-0.14795759386613697,0.2507359448358359,0.3986935387019729,0.2723926380368098,0.1411042944785276,-0.1312883435582822,-0.4411612110986595,0.11129668386026233,0.5524578949589218,0.9515151515151514,-0.9300954818304988,0.3986935387019729,0.464337710481114
prebreak_congestion,risk_on,0,489,659,-0.39099608112389095,0.004486735029250877,0.39548281615314185,0.10020449897750511,0.26555386949924126,0.16534937052173615,-0.5838924047356103,-0.18236101479724787,0.40153138993836246,0.5878787878787878,0.9515151515151514,0.39548281615314185,0.3128081308922738
markov_prob_up_4h,S1_regime_code_1d,3,527,243,-0.40865699387233295,-0.014586462153790152,0.3940705317185428,0.11005692599620494,0.2345679012345679,0.12451097523836295,-0.5447046471852174,-0.3125800646445327,0.2321245825406847,0.41818181818181815,0.9636363636363635,0.3940705317185428,0.3318150440993613
asset_macd_line_4h,S1_regime_code_1d,3,380,433,-0.34696273448164977,0.0405815119431269,0.3875442464247767,0.1736842105263158,0.17782909930715934,0.004144888780843542,-0.601580684747978,-0.18017293604042806,0.42140774870754993,0.19999999999999998,0.4787878787878787,0.3875442464247767,0.38547180203435494
prior_1d_ret,risk_on,0,663,629,-0.34208796542955333,0.032471408074133595,0.37455937350368695,0.2066365007541478,0.178060413354531,-0.028576087399616812,-0.6319198473586322,-0.1008962779782826,0.5310235693803496,0.4666666666666666,0.33333333333333326,0.37455937350368695,0.38884741720349536
asset_macd_line_1h,S1_regime_code_1d,3,381,434,-0.3097961546881413,0.06251512866491125,0.3723112833530526,0.2152230971128609,0.17050691244239632,-0.044716184670464565,-0.6361140903706404,-0.14576926141420374,0.4903448289564366,0.6727272727272726,0.05454545454545454,0.3723112833530526,0.39466937568828486
don_dist_atr,risk_on,0,641,522,-0.03660287449472006,-0.39856073602331177,-0.3619578615285917,0.18876755070202808,0.10344827586206896,-0.08531927483995912,-0.20551222472385572,-0.5121901232939285,-0.3066778985700728,-0.19999999999999998,-0.7575757575757575,0.3619578615285917,-0.31929822410861214
rv_3d,S1_regime_code_1d,3,434,381,-0.2390186145016727,0.11945921604822611,0.3584778305498988,0.14746543778801843,0.25984251968503935,0.11237708189702092,-0.5064943323844627,-0.016072110502303224,0.4904222218821595,0.9151515151515152,0.8181818181818182,0.3584778305498988,0.30228928960138834
atr_pct,risk_on,0,517,652,-0.35194115972708495,0.0035203556600700236,0.355461515387155,0.09090909090909091,0.2668711656441718,0.17596207473508088,-0.5193024846113499,-0.16093960992103248,0.35836287469031736,0.7333333333333332,0.9999999999999999,0.355461515387155,0.26748047801961455
asset_macd_signal_4h,S1_regime_code_1d,3,378,435,-0.3356385551417357,0.006139086270181053,0.34177764141191674,0.18518518518518517,0.17011494252873563,-0.015070242656449545,-0.6086109072173135,-0.2202502505012517,0.3883606567160618,0.05454545454545454,0.18787878787878787,0.34177764141191674,0.3493127627401415
