feature,scope,n_months,mean_delta,std_delta,frac_pos
asset_macd_hist_1h,ALL,35,0.08484830396264952,0.8141838832846432,0.6285714285714286
eth_macd_hist_slope_4h,ALL,26,0.07753346537863377,1.0268473017819684,0.3870967741935484
asset_vol_1h,ALL,35,0.04520665761098643,1.0921363726179967,0.4857142857142857
adx_1h,ALL,35,0.02945550800320171,0.8256600867460299,0.5714285714285714
don_break_level,ALL,35,0.0159197380786747,0.6648268895655296,0.5428571428571428
rv_3d,ALL,34,-0.015776594834624413,1.1600576754085334,0.4857142857142857
prebreak_congestion,ALL,35,-0.03307622099733905,1.1536996695903832,0.4857142857142857
consolidation_range_atr,ALL,35,-0.04992980733646203,0.9256708146612495,0.34285714285714286
eth_trend_slope,ALL,4,-0.09314560532050903,1.55224596830632,0.08
btc_oi_z_7d,ALL,30,-0.10466229940455897,0.839105166328408,0.45714285714285713
vol_mult,ALL,35,-0.12480466463166362,0.861224194092165,0.5142857142857142
funding_rollsum_3d,ALL,21,-0.1481647688524697,0.6135493640268395,0.2571428571428571
days_since_prev_break,ALL,35,-0.1542462181300859,0.5641869309662592,0.37142857142857144
eth_macd_hist_4h,ALL,20,-0.16995724877085544,1.3402364359204988,0.25
funding_rate,ALL,26,-0.17192868141529966,1.1748457932731986,0.2571428571428571
eth_oi_z_7d,ALL,28,-0.20692828273729108,0.8567504390182298,0.2571428571428571
funding_z_7d,ALL,31,-0.28251512091566994,1.2565450946544616,0.37142857142857144
vol_prob_low_1d,ALL,19,-0.2937150437999404,1.0617515163426678,0.20588235294117646
don_dist_atr,ALL,35,-0.3670458178151582,1.044835876922943,0.3142857142857143
btc_vol_regime_level,ALL,0,,,0.0
eth_vol_regime_level,ALL,0,,,0.0
markov_prob_up_4h,RISK_ON_1,1,1.615781885404881,,0.08333333333333333
asset_rsi_4h,RISK_ON_1,16,1.431839148755819,0.8412971597695535,0.75
rs_pct,RISK_ON_1,18,0.7437427344245982,1.353665172235969,0.8095238095238095
btc_funding_rate,RISK_ON_1,1,0.6796923904730646,,0.07692307692307693
