symbol,grammar_cell,parent_family,exact_decision_timestamp_overlaps
PF_API3USD,trade_downside+mark_downside+structural_rejection+oi+basis_change,KDA01,0
PF_API3USD,trade_downside+mark_downside+structural_rejection+oi+basis_change,KDA02,0
PF_API3USD,trade_downside+mark_downside+structural_rejection+oi+basis_change,KDA03,0
PF_API3USD,trade_downside+mark_downside+structural_rejection+oi+breadth,KDA01,0
PF_API3USD,trade_downside+mark_downside+structural_rejection+oi+breadth,KDA02,0
PF_API3USD,trade_downside+mark_downside+structural_rejection+oi+breadth,KDA03,0
PF_API3USD,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,KDA01,0
PF_API3USD,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,KDA02,0
PF_API3USD,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,KDA03,0
PF_APTUSD,trade_downside+mark_downside+structural_rejection,KDA01,203
PF_APTUSD,trade_downside+mark_downside+structural_rejection,KDA02,2
PF_APTUSD,trade_downside+mark_downside+structural_rejection,KDA03,13
PF_APTUSD,trade_downside+mark_downside+structural_rejection+oi,KDA01,75
PF_APTUSD,trade_downside+mark_downside+structural_rejection+oi,KDA02,2
PF_APTUSD,trade_downside+mark_downside+structural_rejection+oi,KDA03,3
PF_APTUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation,KDA01,4
PF_APTUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation,KDA02,1
PF_APTUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation,KDA03,0
PF_APTUSD,trade_downside+mark_downside+structural_rejection+oi+basis_level,KDA01,39
PF_APTUSD,trade_downside+mark_downside+structural_rejection+oi+basis_level,KDA02,3
PF_APTUSD,trade_downside+mark_downside+structural_rejection+oi+basis_level,KDA03,0
PF_APTUSD,trade_downside+mark_downside+structural_rejection+oi+basis_change,KDA01,0
PF_APTUSD,trade_downside+mark_downside+structural_rejection+oi+basis_change,KDA02,0
PF_APTUSD,trade_downside+mark_downside+structural_rejection+oi+basis_change,KDA03,0
PF_APTUSD,trade_downside+mark_downside+structural_rejection+oi+breadth,KDA01,17
PF_APTUSD,trade_downside+mark_downside+structural_rejection+oi+breadth,KDA02,2
PF_APTUSD,trade_downside+mark_downside+structural_rejection+oi+breadth,KDA03,1
PF_APTUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,KDA01,0
PF_APTUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,KDA02,0
PF_APTUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,KDA03,0
PF_ARBUSD,trade_downside+mark_downside+structural_rejection,KDA01,232
PF_ARBUSD,trade_downside+mark_downside+structural_rejection,KDA02,15
PF_ARBUSD,trade_downside+mark_downside+structural_rejection,KDA03,272
PF_ARBUSD,trade_downside+mark_downside+structural_rejection+oi,KDA01,141
PF_ARBUSD,trade_downside+mark_downside+structural_rejection+oi,KDA02,14
PF_ARBUSD,trade_downside+mark_downside+structural_rejection+oi,KDA03,123
PF_ARBUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation,KDA01,10
PF_ARBUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation,KDA02,10
PF_ARBUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation,KDA03,2
PF_ARBUSD,trade_downside+mark_downside+structural_rejection+oi+basis_level,KDA01,64
PF_ARBUSD,trade_downside+mark_downside+structural_rejection+oi+basis_level,KDA02,4
PF_ARBUSD,trade_downside+mark_downside+structural_rejection+oi+basis_level,KDA03,89
PF_ARBUSD,trade_downside+mark_downside+structural_rejection+oi+basis_change,KDA01,0
PF_ARBUSD,trade_downside+mark_downside+structural_rejection+oi+basis_change,KDA02,0
PF_ARBUSD,trade_downside+mark_downside+structural_rejection+oi+basis_change,KDA03,0
PF_ARBUSD,trade_downside+mark_downside+structural_rejection+oi+breadth,KDA01,45
PF_ARBUSD,trade_downside+mark_downside+structural_rejection+oi+breadth,KDA02,11
PF_ARBUSD,trade_downside+mark_downside+structural_rejection+oi+breadth,KDA03,33
PF_ARBUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,KDA01,0
PF_ARBUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,KDA02,0
PF_ARBUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,KDA03,0
PF_ARCUSD,trade_downside+mark_downside+structural_rejection,KDA01,0
PF_ARCUSD,trade_downside+mark_downside+structural_rejection,KDA02,0
PF_ARCUSD,trade_downside+mark_downside+structural_rejection,KDA03,0
PF_ARCUSD,trade_downside+mark_downside+structural_rejection+oi,KDA01,0
PF_ARCUSD,trade_downside+mark_downside+structural_rejection+oi,KDA02,0
PF_ARCUSD,trade_downside+mark_downside+structural_rejection+oi,KDA03,0
PF_ARCUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation,KDA01,0
PF_ARCUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation,KDA02,0
PF_ARCUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation,KDA03,0
PF_ARCUSD,trade_downside+mark_downside+structural_rejection+oi+basis_level,KDA01,0
PF_ARCUSD,trade_downside+mark_downside+structural_rejection+oi+basis_level,KDA02,0
PF_ARCUSD,trade_downside+mark_downside+structural_rejection+oi+basis_level,KDA03,0
PF_ARCUSD,trade_downside+mark_downside+structural_rejection+oi+basis_change,KDA01,0
PF_ARCUSD,trade_downside+mark_downside+structural_rejection+oi+basis_change,KDA02,0
PF_ARCUSD,trade_downside+mark_downside+structural_rejection+oi+basis_change,KDA03,0
PF_ARCUSD,trade_downside+mark_downside+structural_rejection+oi+breadth,KDA01,0
PF_ARCUSD,trade_downside+mark_downside+structural_rejection+oi+breadth,KDA02,0
PF_ARCUSD,trade_downside+mark_downside+structural_rejection+oi+breadth,KDA03,0
PF_ARCUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,KDA01,0
PF_ARCUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,KDA02,0
PF_ARCUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,KDA03,0
PF_ARKMUSD,trade_downside+mark_downside+structural_rejection,KDA01,0
PF_ARKMUSD,trade_downside+mark_downside+structural_rejection,KDA02,0
PF_ARKMUSD,trade_downside+mark_downside+structural_rejection,KDA03,0
PF_ARKMUSD,trade_downside+mark_downside+structural_rejection+oi,KDA01,0
PF_ARKMUSD,trade_downside+mark_downside+structural_rejection+oi,KDA02,0
PF_ARKMUSD,trade_downside+mark_downside+structural_rejection+oi,KDA03,0
