symbol,year,grammar_cell,state_rows,onsets,episodes,duration_minutes_median,duration_minutes_p95
PF_ALICEUSD,2025,trade_downside+mark_downside+structural_rejection,0,0,0,,
PF_ALICEUSD,2023,trade_downside+mark_downside+structural_rejection+oi,309,290,290,5.0,5.0
PF_ALICEUSD,2024,trade_downside+mark_downside+structural_rejection+oi,1357,1107,1107,5.0,10.0
PF_ALICEUSD,2025,trade_downside+mark_downside+structural_rejection+oi,0,0,0,,
PF_ALICEUSD,2023,trade_downside+mark_downside+structural_rejection+oi+liquidation,0,0,0,,
PF_ALICEUSD,2024,trade_downside+mark_downside+structural_rejection+oi+liquidation,16,15,15,5.0,6.499999999999995
PF_ALICEUSD,2025,trade_downside+mark_downside+structural_rejection+oi+liquidation,0,0,0,,
PF_ALICEUSD,2023,trade_downside+mark_downside+structural_rejection+oi+basis_level,81,76,76,5.0,6.25
PF_ALICEUSD,2024,trade_downside+mark_downside+structural_rejection+oi+basis_level,491,416,416,5.0,10.0
PF_ALICEUSD,2025,trade_downside+mark_downside+structural_rejection+oi+basis_level,0,0,0,,
PF_ALICEUSD,2023,trade_downside+mark_downside+structural_rejection+oi+basis_change,0,0,0,,
PF_ALICEUSD,2024,trade_downside+mark_downside+structural_rejection+oi+basis_change,0,0,0,,
PF_ALICEUSD,2025,trade_downside+mark_downside+structural_rejection+oi+basis_change,0,0,0,,
PF_ALICEUSD,2023,trade_downside+mark_downside+structural_rejection+oi+breadth,48,45,45,5.0,8.999999999999986
PF_ALICEUSD,2024,trade_downside+mark_downside+structural_rejection+oi+breadth,464,383,383,5.0,10.0
PF_ALICEUSD,2025,trade_downside+mark_downside+structural_rejection+oi+breadth,0,0,0,,
PF_ALICEUSD,2023,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,0,0,0,,
PF_ALICEUSD,2024,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,0,0,0,,
PF_ALICEUSD,2025,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,0,0,0,,
PF_ANKRUSD,2023,trade_downside+mark_downside+structural_rejection,1929,1593,1593,5.0,10.0
PF_ANKRUSD,2024,trade_downside+mark_downside+structural_rejection,5650,4148,4148,5.0,15.0
PF_ANKRUSD,2025,trade_downside+mark_downside+structural_rejection,0,0,0,,
PF_ANKRUSD,2023,trade_downside+mark_downside+structural_rejection+oi,736,632,632,5.0,10.0
