symbol,year,rows,eligible_rows,price_available,OI_available,liquidation_available,basis_level_available,basis_change_available,breadth_available
PF_EGLDUSD,2025,104833,16993,104833,104833,0,104833,7201,104833
PF_EIGENUSD,2023,0,0,0,0,0,0,0,0
PF_EIGENUSD,2024,24013,1440,24001,23995,0,15552,0,24013
PF_EIGENUSD,2025,104833,53568,104833,104833,5472,104833,0,104833
PF_ENAUSD,2023,0,0,0,0,0,0,0,0
PF_ENAUSD,2024,72382,1440,72370,72370,43776,63936,6624,72382
PF_ENAUSD,2025,104833,104833,104833,104833,104833,104833,0,104833
PF_ENSUSD,2023,86257,84096,86245,86245,0,77760,0,86257
PF_ENSUSD,2024,105408,105408,105408,105408,47520,105408,0,105408
PF_ENSUSD,2025,104833,100225,104833,104833,3456,104833,0,104833
PF_ETCUSD,2023,86257,84096,86245,86245,0,76896,0,86257
PF_ETCUSD,2024,105408,105408,105408,105408,3168,105408,0,105408
PF_ETCUSD,2025,104833,78337,104833,104833,2592,104833,0,104833
PF_ETHFIUSD,2023,0,0,0,0,0,0,0,0
PF_ETHFIUSD,2024,67797,1440,67785,67785,0,59328,12384,67797
PF_ETHFIUSD,2025,104833,80641,104833,104833,0,104833,0,104833
PF_ETHUSD,2023,86260,86260,86248,86248,77760,71712,0,86260
PF_ETHUSD,2024,105408,105408,105408,105408,105408,97344,0,105408
PF_ETHUSD,2025,104833,104833,104833,104833,104833,65664,0,104833
PF_ETHWUSD,2023,86232,84096,86220,86220,0,77760,4032,86232
PF_ETHWUSD,2024,105408,96192,105408,105408,0,105408,28224,105408
PF_ETHWUSD,2025,104833,0,104833,104833,0,104833,77185,104833
PF_FARTCOINUSD,2023,0,0,0,0,0,0,0,0
PF_FARTCOINUSD,2024,0,0,0,0,0,0,0,0
PF_FARTCOINUSD,2025,99117,88129,99105,99100,90721,90721,288,99117
PF_FETUSD,2023,81616,576,81604,81602,7200,73152,0,81616
PF_FETUSD,2024,105408,50976,105408,105408,53568,55296,0,105408
PF_FETUSD,2025,104833,104833,104833,104833,86689,104833,1728,104833
PF_FILUSD,2023,86260,84096,86248,86248,68256,77760,0,86260
PF_FILUSD,2024,105408,105408,105408,105408,105408,105408,0,105408
PF_FILUSD,2025,104833,104833,104833,104833,91873,104833,0,104833
PF_FLOKIUSD,2023,0,0,0,0,0,0,0,0
PF_FLOKIUSD,2024,66323,1440,66311,66308,57888,57888,0,66323
PF_FLOKIUSD,2025,104833,104833,104833,104833,75168,104833,0,104833
PF_FLOWUSD,2023,86233,84096,86221,86221,0,77760,288,86233
PF_FLOWUSD,2024,105408,103968,105408,105408,0,105408,0,105408
PF_FLOWUSD,2025,104833,0,104833,104833,0,104833,35137,104833
PF_FLRUSD,2023,86260,84096,86248,86248,0,77760,1440,86260
PF_FLRUSD,2024,105408,103680,105408,105408,576,105408,60768,105408
PF_FLRUSD,2025,104833,288,104833,104833,0,104833,38016,104833
PF_GALAUSD,2023,86257,84096,86245,86245,20736,77760,0,86257
PF_GALAUSD,2024,105408,105408,105408,105408,85824,95616,0,105408
PF_GALAUSD,2025,104833,104833,104833,104833,69985,104833,0,104833
PF_GIGAUSD,2023,0,0,0,0,0,0,0,0
PF_GIGAUSD,2024,5259,0,5247,5221,0,0,0,5259
PF_GIGAUSD,2025,104833,4608,104833,104833,37441,101665,61056,104833
PF_GMTUSD,2023,86259,84096,86247,86247,9792,77760,0,86259
