symbol,year,unique_economic_addresses,addresses_in_multiple_grammar_cells,total_grammar_memberships,maximum_grammar_memberships_per_address
PF_TRUUSD,2024,2307,840,3656,4
PF_TRUUSD,2025,0,0,0,0
PF_TRXUSD,2023,2382,931,3724,4
PF_TRXUSD,2024,5595,2601,10037,5
PF_TRXUSD,2025,8550,4180,15813,5
PF_TURBOUSD,2023,0,0,0,0
PF_TURBOUSD,2024,225,110,358,4
PF_TURBOUSD,2025,10173,4881,17872,5
PF_UMAUSD,2023,0,0,0,0
PF_UMAUSD,2024,2909,1147,4749,4
PF_UMAUSD,2025,0,0,0,0
PF_UNIUSD,2023,5819,2298,9486,5
PF_UNIUSD,2024,15127,7868,26715,5
PF_UNIUSD,2025,17036,8333,30889,5
PF_USUALUSD,2023,0,0,0,0
PF_USUALUSD,2024,0,0,0,0
PF_USUALUSD,2025,179,57,292,5
PF_VETUSD,2023,0,0,0,0
PF_VETUSD,2024,0,0,0,0
PF_VETUSD,2025,3754,1677,6640,5
PF_VINEUSD,2023,0,0,0,0
PF_VINEUSD,2024,0,0,0,0
PF_VINEUSD,2025,1863,796,3118,4
PF_VIRTUALUSD,2023,0,0,0,0
PF_VIRTUALUSD,2024,0,0,0,0
PF_VIRTUALUSD,2025,9718,4908,17373,5
PF_WIFUSD,2023,0,0,0,0
PF_WIFUSD,2024,11992,5766,19907,5
PF_WIFUSD,2025,18438,8724,31516,5
PF_WLDUSD,2023,38,8,50,3
PF_WLDUSD,2024,15582,7980,27134,5
PF_WLDUSD,2025,14998,7769,27541,5
PF_WOOUSD,2023,11,1,12,2
PF_WOOUSD,2024,4644,1934,7845,5
PF_WOOUSD,2025,0,0,0,0
PF_WUSD,2023,0,0,0,0
PF_WUSD,2024,4879,2242,8075,5
PF_WUSD,2025,5382,2347,9246,4
PF_XBTUSD,2023,14472,7423,24412,5
PF_XBTUSD,2024,17890,10050,31427,5
PF_XBTUSD,2025,17369,8657,28915,5
PF_XLMUSD,2023,3953,1806,6831,5
PF_XLMUSD,2024,8184,4167,15135,5
PF_XLMUSD,2025,15339,8120,27827,5
PF_XMRUSD,2023,4271,1837,6926,5
PF_XMRUSD,2024,14241,6965,24963,5
PF_XMRUSD,2025,16225,8249,29121,7
PF_XRPUSD,2023,12962,6486,22022,5
PF_XRPUSD,2024,17190,8798,29881,5
PF_XRPUSD,2025,17895,8868,31231,5
PF_XTZUSD,2023,5079,1898,7915,4
PF_XTZUSD,2024,4662,1799,7529,4
PF_XTZUSD,2025,6245,2860,11005,5
PF_YFIUSD,2023,4622,1968,7333,4
PF_YFIUSD,2024,5512,2491,9584,4
PF_YFIUSD,2025,1323,614,2540,5
PF_YGGUSD,2023,0,0,0,0
PF_YGGUSD,2024,2335,798,3653,4
PF_YGGUSD,2025,0,0,0,0
PF_ZECUSD,2023,1460,628,2391,4
PF_ZECUSD,2024,8438,4191,14927,5
PF_ZECUSD,2025,12834,6093,22913,7
