symbol,first_raw_OI_timestamp,first_complete_causal_lookback,first_admissible_onset_timestamp,invalid_boundary_start,invalid_boundary_end,truncation_status,gap_count,OI_missing_bars_inside_retention,last_raw_OI_timestamp
PF_IMXUSD,2023-03-07 12:05:00+00:00,2023-12-12 00:00:00+00:00,2023-12-12 00:25:00+00:00,2023-03-07 12:05:00+00:00,2023-12-12 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_INJUSD,2023-04-05 14:00:00+00:00,2023-12-30 00:00:00+00:00,2023-12-30 00:05:00+00:00,2023-04-05 14:00:00+00:00,2023-12-30 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_IOTAUSD,2024-12-05 15:05:00+00:00,,,2024-12-05 15:05:00+00:00,,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_IOUSD,2025-01-28 18:45:00+00:00,,,2025-01-28 18:45:00+00:00,,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_IPUSD,2025-03-07 11:50:00+00:00,2025-04-12 00:00:00+00:00,2025-04-12 02:50:00+00:00,2025-03-07 11:50:00+00:00,2025-04-12 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_JASMYUSD,2023-04-05 14:05:00+00:00,2024-03-24 00:00:00+00:00,2024-03-24 01:35:00+00:00,2023-04-05 14:05:00+00:00,2024-03-24 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_JTOUSD,2023-12-21 18:10:00+00:00,2024-05-07 00:00:00+00:00,2024-05-07 00:45:00+00:00,2023-12-21 18:10:00+00:00,2024-05-07 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_JUPUSD,2024-02-01 14:05:00+00:00,2024-05-07 00:00:00+00:00,2024-05-07 00:05:00+00:00,2024-02-01 14:05:00+00:00,2024-05-07 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_KAIAUSD,2024-11-14 19:40:00+00:00,,,2024-11-14 19:40:00+00:00,,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_KAITOUSD,2025-03-11 17:30:00+00:00,2025-06-09 00:00:00+00:00,2025-06-09 00:45:00+00:00,2025-03-11 17:30:00+00:00,2025-06-09 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
