model,fold,target,train_n,test_n,t_test_start,t_test_end,slice,state,n,pos_rate,auc,avg_precision,logloss,brier,accuracy@0.5,precision@0.5,recall@0.5,mean_pnl_R,top10_n,top10_mean_pnl_R,top10_winrate,top10_timerate
logreg,2,y_good_05,9312,1879,2024-03-03 00:00:00+00:00,2024-09-22 00:00:00+00:00,S2_markov_x_vol1d,0,1177.0,0.14103653355989804,0.7312931250223446,0.3207063352557576,0.46645157720535946,0.15160773341685335,0.7858963466440102,0.3130434782608696,0.43373493975903615,-0.43171366660982713,117.0,0.6699114513183224,0.46153846153846156,0.27350427350427353
logreg,2,y_good_05,9312,1879,2024-03-03 00:00:00+00:00,2024-09-22 00:00:00+00:00,S2_markov_x_vol1d,1,430.0,0.22790697674418606,0.8181399065650357,0.5729368254242861,0.5263411619346442,0.17754284219042699,0.7162790697674418,0.43103448275862066,0.7653061224489796,-0.09065164639101352,43.0,1.7234442710439106,0.6976744186046512,0.32558139534883723
logreg,2,y_good_05,9312,1879,2024-03-03 00:00:00+00:00,2024-09-22 00:00:00+00:00,S3_funding_x_oi,7,553.0,0.1518987341772152,0.7138034318204894,0.3187748846817999,0.5376035594842878,0.18112790747806784,0.7269439421338155,0.28104575163398693,0.5119047619047619,-0.3878221239784947,55.0,0.7736110155090961,0.4727272727272727,0.3090909090909091
logreg,2,y_good_05,9312,1879,2024-03-03 00:00:00+00:00,2024-09-22 00:00:00+00:00,S3_funding_x_oi,6,566.0,0.15547703180212014,0.8100038037276531,0.4825771144966012,0.428160586813893,0.1349056273418507,0.8091872791519434,0.4166666666666667,0.5681818181818182,-0.3711639110890058,56.0,1.2901803193087613,0.6607142857142857,0.39285714285714285
logreg,2,y_good_05,9312,1879,2024-03-03 00:00:00+00:00,2024-09-22 00:00:00+00:00,S3_funding_x_oi,8,447.0,0.16554809843400448,0.7661039055140932,0.4322357744875602,0.49479698279561457,0.16362003235196879,0.7651006711409396,0.3697478991596639,0.5945945945945946,-0.27326918824236274,44.0,0.7163441339610971,0.5227272727272727,0.3409090909090909
logreg,2,y_good_05,9312,1879,2024-03-03 00:00:00+00:00,2024-09-22 00:00:00+00:00,S4_crowd_x_trend1d,3,1601.0,0.14303560274828234,0.7395317453244554,0.3006912326172433,0.48023881878474484,0.15705757978800822,0.7726420986883198,0.30547550432276654,0.462882096069869,-0.4307674673701143,160.0,0.5775941079858937,0.475,0.35
logreg,2,y_good_05,9312,1879,2024-03-03 00:00:00+00:00,2024-09-22 00:00:00+00:00,S4_crowd_x_trend1d,2,278.0,0.302158273381295,0.7863892979872361,0.6117680082766639,0.5953057505914893,0.2061152436814768,0.6690647482014388,0.4722222222222222,0.8095238095238095,0.14705270023243938,27.0,2.1548877495804564,0.7777777777777778,0.3333333333333333
logreg,2,y_good_05,9312,1879,2024-03-03 00:00:00+00:00,2024-09-22 00:00:00+00:00,S5_btcRisk_x_regimeUp,6,514.0,0.14980544747081712,0.760082023239918,0.3228506481564483,0.4774146978471535,0.1550344694075561,0.7801556420233463,0.330188679245283,0.45454545454545453,-0.39763033831310723,51.0,0.685274566880278,0.5686274509803921,0.49019607843137253
logreg,2,y_good_05,9312,1879,2024-03-03 00:00:00+00:00,2024-09-22 00:00:00+00:00,S5_btcRisk_x_regimeUp,7,847.0,0.17001180637544275,0.8065236288920499,0.4789224175723177,0.5005623237444308,0.16614412418808294,0.7508854781582054,0.37453183520599254,0.6944444444444444,-0.3115651291750001,84.0,1.4328723954268932,0.6071428571428571,0.32142857142857145
logreg,2,y_good_05,9312,1879,2024-03-03 00:00:00+00:00,2024-09-22 00:00:00+00:00,S6_fresh_x_compress,2,389.0,0.17994858611825193,0.790550828481863,0.39838863008594855,0.4654287834870365,0.15288024048137575,0.7737789203084833,0.4,0.5142857142857142,-0.3048851186029169,38.0,0.503055283487105,0.4473684210526316,0.3157894736842105
