scope,threshold,n,pos_rate,mean_pnl_R,sum_pnl_R,win_rate,time_rate,mean_pnl_R_not_time,rank_by_mean_pnl,rank_by_sum_pnl
RISK_ON_1,0.12,1929,0.3893208916537066,0.6142142476726863,1184.8192837606118,0.42457231726283046,0.23691031622602385,0.48975121149111905,25.0,12.0
RISK_ON_1,0.14,1824,0.4029605263157895,0.6742243095876278,1229.785140687833,0.43914473684210525,0.24232456140350878,0.5667434749268254,24.0,10.0
RISK_ON_1,0.16,1710,0.41812865497076024,0.7397339970368715,1264.9451349330502,0.4543859649122807,0.24678362573099416,0.648100971210922,23.0,8.0
RISK_ON_1,0.18,1612,0.4299007444168734,0.794973966859648,1281.4980345777526,0.4665012406947891,0.25,0.7161787454254989,22.0,4.0
RISK_ON_1,0.2,1509,0.4459907223326706,0.8557877910972014,1291.3837767656769,0.48177601060304837,0.2591119946984758,0.7908304811551474,21.0,1.0
RISK_ON_1,0.22,1412,0.45609065155807366,0.9095329950007861,1284.26058894111,0.4922096317280453,0.2556657223796034,0.8591574388511198,20.0,3.0
RISK_ON_1,0.24,1313,0.4722010662604722,0.9818077922005642,1289.113631159341,0.5095201827875095,0.2597105864432597,0.95590740695977,19.0,2.0
RISK_ON_1,0.26,1224,0.48447712418300654,1.0410626482211054,1274.260681422633,0.5236928104575164,0.2630718954248366,1.0268274068567844,18.0,5.0
RISK_ON_1,0.28,1134,0.5008818342151675,1.1173525453042679,1267.0777863750398,0.5405643738977073,0.263668430335097,1.1197372223218993,17.0,7.0
RISK_ON_1,0.3,1040,0.5182692307692308,1.2112760105818006,1259.7270510050726,0.5567307692307693,0.25769230769230766,1.2365751714675615,16.0,9.0
RISK_ON_1,0.32,967,0.5408479834539814,1.3141008457362011,1270.7355178269065,0.5791106514994829,0.26059979317476734,1.375096641627764,15.0,6.0
RISK_ON_1,0.34,890,0.549438202247191,1.3639399476036764,1213.906553367272,0.5898876404494382,0.2573033707865168,1.4353551991673081,14.0,11.0
RISK_ON_1,0.36,809,0.5611866501854141,1.4403495362212049,1165.2427748029547,0.6007416563658838,0.2521631644004944,1.53122661126763,13.0,13.0
RISK_ON_1,0.38,746,0.5804289544235925,1.5257174341923725,1138.18520590751,0.6179624664879356,0.2546916890080429,1.6488794047309683,12.0,14.0
RISK_ON_1,0.4,674,0.599406528189911,1.6118393144943164,1086.3796979691692,0.6350148367952523,0.25370919881305637,1.7617289601496935,11.0,16.0
RISK_ON_1,0.42,623,0.6035313001605136,1.6311059046471532,1016.1789785951764,0.6388443017656501,0.2536115569823435,1.785499009407312,10.0,18.0
RISK_ON_1,0.44,566,0.6183745583038869,1.6915973015268273,957.4440726641842,0.6554770318021201,0.26325088339222613,1.8815607459014339,9.0,19.0
RISK_ON_1,0.46,519,0.6184971098265896,1.7041141964842104,884.4352679753051,0.6551059730250481,0.2543352601156069,1.888254993513812,8.0,21.0
RISK_ON_1,0.48,477,0.6289308176100629,1.7532341493489771,836.2926892394621,0.6624737945492662,0.24947589098532494,1.942857399421609,7.0,23.0
RISK_ON_1,0.5,438,0.6438356164383562,1.8229102827351544,798.4347038379976,0.6689497716894978,0.23972602739726026,2.0156278143637625,6.0,26.0
RISK_ON_1,0.52,385,0.6675324675324675,1.9362558762171387,745.4585123435984,0.6935064935064935,0.24155844155844156,2.152220591579586,5.0,27.0
RISK_ON_1,0.54,344,0.686046511627907,2.037015205287282,700.733230618825,0.7151162790697675,0.23837209302325582,2.2877686381697013,4.0,28.0
RISK_ON_1,0.56,298,0.7114093959731543,2.1406809342728454,637.9229184133079,0.738255033557047,0.23825503355704697,2.4038592163453822,3.0,29.0
RISK_ON_1,0.58,250,0.756,2.3156570486984847,578.9142621746212,0.776,0.244,2.617782783987027,2.0,30.0
RISK_ON_1,0.6,218,0.7752293577981652,2.396456121674176,522.4274345249704,0.7981651376146789,0.25229357798165136,2.73991041353798,1.0,31.0
