symbol,in_export,in_reconciled_479,in_k0_included_460,in_campaign_187,comparison_status
PF_ETCUSD,True,True,True,True,campaign_exact_mapped
PF_ETHBTCUSD,True,False,False,False,export_only_not_reconciled
PF_ETHFIUSD,True,True,True,True,campaign_exact_mapped
PF_ETHUSD,True,True,True,True,campaign_exact_mapped
PF_ETHWUSD,True,True,True,True,campaign_exact_mapped
PF_EURUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_FARTCOINUSD,True,True,True,True,campaign_exact_mapped
PF_FETUSD,True,True,True,True,campaign_exact_mapped
PF_FFUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_FIDAUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_FILUSD,True,True,True,True,campaign_exact_mapped
PF_FIOUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_FLMUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_FLOKIUSD,True,True,True,True,campaign_exact_mapped
PF_FLOWUSD,True,True,True,True,campaign_exact_mapped
PF_FLRUSD,True,True,True,True,campaign_exact_mapped
PF_FLUXUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_FOLKSUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_FTMUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_FWOGUSD,True,False,False,False,export_only_not_reconciled
PF_FXSUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_GALAUSD,True,True,True,True,campaign_exact_mapped
PF_GALUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_GASUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_GBPUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_GHSTUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_GIGAUSD,True,True,True,True,campaign_exact_mapped
PF_GLDXUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_GLMRUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_GLMUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_GMTUSD,True,True,True,True,campaign_exact_mapped
PF_GMXUSD,True,True,True,True,campaign_exact_mapped
PF_GOATUSD,True,True,True,True,campaign_exact_mapped
PF_GOOGLXUSD,False,True,False,False,reconciled_missing_export_noncampaign
PF_GPSUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_GRASSUSD,True,True,True,True,campaign_exact_mapped
PF_GRIFFAINUSD,True,True,True,True,campaign_exact_mapped
PF_GRTUSD,True,True,True,True,campaign_exact_mapped
PF_GTCUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_GUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_HAEDALUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_HBARUSD,True,True,True,True,campaign_exact_mapped
