symbol,partition,row_count,numeric_rate_parsing
PF_AXLUSD,protected_2026_plus_quarantine,0,none_opaque_raw_line
PF_AXLUSD,rankable_2023_2025,2252,Decimal
PF_AXLUSD,unknown_or_invalid,0,none
PF_AXSUSD,pre_rankable_before_2023_excluded,2585,Decimal_schema_only_not_calibration
PF_AXSUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_AXSUSD,rankable_2023_2025,26297,Decimal
PF_AXSUSD,unknown_or_invalid,0,none
PF_B2USD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_B2USD,protected_2026_plus_quarantine,0,none_opaque_raw_line
PF_B2USD,rankable_2023_2025,1192,Decimal
PF_B2USD,unknown_or_invalid,0,none
PF_B3USD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_B3USD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_B3USD,rankable_2023_2025,7013,Decimal
PF_B3USD,unknown_or_invalid,0,none
PF_BABYDOGEUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_BABYDOGEUSD,protected_2026_plus_quarantine,0,none_opaque_raw_line
PF_BABYDOGEUSD,rankable_2023_2025,2,Decimal
PF_BABYDOGEUSD,unknown_or_invalid,0,none
PF_BADGERUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_BADGERUSD,protected_2026_plus_quarantine,0,none_opaque_raw_line
PF_BADGERUSD,rankable_2023_2025,13818,Decimal
PF_BADGERUSD,unknown_or_invalid,0,none
PF_BAKEUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_BAKEUSD,protected_2026_plus_quarantine,0,none_opaque_raw_line
PF_BAKEUSD,rankable_2023_2025,10938,Decimal
PF_BAKEUSD,unknown_or_invalid,0,none
PF_BALUSD,pre_rankable_before_2023_excluded,2291,Decimal_schema_only_not_calibration
PF_BALUSD,protected_2026_plus_quarantine,0,none_opaque_raw_line
PF_BALUSD,rankable_2023_2025,23479,Decimal
PF_BALUSD,unknown_or_invalid,0,none
PF_BANANAUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
