feature,slice,state,n_bin0,n_bin9,mean_pnl_R_bin0,mean_pnl_R_bin9,delta_mean_pnl_R,time_rate_bin0,time_rate_bin9,delta_time_rate,mean_pnl_R_not_time_bin0,mean_pnl_R_not_time_bin9,delta_mean_pnl_R_not_time,spearman_pnl_R,spearman_time_rate,rank_abs_delta_pnl,rank_pnl_minus_time
asset_rsi_4h,S3_funding_x_oi,8,165,328,-0.6621519952455898,0.5542070327744631,1.216359028020053,0.12121212121212122,0.18902439024390244,0.06781226903178122,-0.8210492156254223,0.48048127040115024,1.3015304860265726,0.9636363636363635,0.43030303030303024,1.216359028020053,1.1824528935041623
asset_rsi_4h,S1_regime_code_1d,3,624,461,-0.574709020109194,0.6310140142806435,1.2057230343898375,0.14743589743589744,0.17787418655097614,0.030438289115078704,-0.7987958338695695,0.6115929899159779,1.4103888237855475,0.9636363636363635,0.43030303030303024,1.2057230343898375,1.1905038898322982
vol_prob_low_1d,S3_funding_x_oi,3,96,69,0.738636446589545,-0.4611587427919533,-1.1997951893814982,0.22916666666666666,0.11594202898550725,-0.11322463768115941,0.6945174686339297,-0.6392232896261342,-1.3337407582600638,-0.7212121212121211,-0.4545454545454545,1.1997951893814982,-1.1431828705409186
asset_rsi_4h,ALL,0,1137,1122,-0.5554122898827181,0.6428833982407705,1.1982956881234885,0.14951627088830255,0.19786096256684493,0.048344691678542384,-0.7873392234316599,0.5701855881069466,1.3575248115386065,0.9878787878787878,0.6,1.1982956881234885,1.1741233422842172
rs_pct,risk_on,1,397,231,-0.29204933876822814,0.8750157570093061,1.1670650957775344,0.1385390428211587,0.19913419913419914,0.06059515631304044,-0.5158008418020453,0.9314767243193943,1.4472775661214397,0.9393939393939393,0.6242424242424242,1.1670650957775344,1.1367675176210141
rs_pct,S5_btcRisk_x_regimeUp,5,397,231,-0.29204933876822814,0.8750157570093061,1.1670650957775344,0.1385390428211587,0.19913419913419914,0.06059515631304044,-0.5158008418020453,0.9314767243193943,1.4472775661214397,0.9393939393939393,0.6242424242424242,1.1670650957775344,1.1367675176210141
rs_pct,ALL,0,1130,1137,-0.5546413273230324,0.596020535505916,1.1506618628289484,0.11504424778761062,0.21723834652594548,0.10219409873833486,-0.7555821781959214,0.5531976906438818,1.3087798688398031,0.9878787878787878,0.9878787878787878,1.1506618628289484,1.099564813459781
atr_pct,S1_regime_code_1d,0,125,98,1.2748892835542005,0.13298221158563972,-1.1419070719685607,0.12,0.2755102040816326,0.15551020408163263,1.3106287775491452,-0.023424706842323798,-1.334053484391469,-0.6969696969696969,0.5151515151515151,1.1419070719685607,-1.219662174009377
rs_pct,S3_funding_x_oi,7,306,202,-0.5400781382604167,0.5835258170209033,1.12360395528132,0.10457516339869281,0.18316831683168316,0.07859315343299035,-0.7313963565204366,0.5903262703575469,1.3217226268779836,0.9515151515151514,0.9030303030303028,1.12360395528132,1.0843073785648247
asset_rsi_4h,risk_on,0,878,647,-0.5988676351749832,0.5110560070110443,1.1099236421860275,0.14123006833712984,0.1731066460587326,0.03187657772160277,-0.8168471092120787,0.45454521549754384,1.2713923247096226,0.9999999999999999,0.43030303030303024,1.1099236421860275,1.0939853533252262
markov_prob_up_4h,S5_btcRisk_x_regimeUp,5,179,377,-0.7956980610395948,0.3053386822694112,1.101036743309006,0.05027932960893855,0.1724137931034483,0.12213446349450974,-0.8601187427907426,0.04779815076936509,0.9079168935601077,0.7696969696969697,0.8181818181818182,1.101036743309006,1.039969511561751
markov_prob_up_4h,risk_on,1,179,377,-0.7956980610395948,0.3053386822694112,1.101036743309006,0.05027932960893855,0.1724137931034483,0.12213446349450974,-0.8601187427907426,0.04779815076936509,0.9079168935601077,0.7696969696969697,0.8181818181818182,1.101036743309006,1.039969511561751
atr_pct,S5_btcRisk_x_regimeUp,0,60,124,-1.2001390963261616,-0.09942135796352,1.1007177383626416,0.1,0.33064516129032256,0.23064516129032256,-1.4735050985625837,-0.40656077419652287,1.0669443243660608,0.7,0.9121418755437382,1.1007177383626416,0.9853951577174803
asset_rsi_4h,S5_btcRisk_x_regimeUp,4,379,152,-0.6016258346592396,0.48552315622964876,1.0871489908888883,0.13192612137203166,0.14473684210526316,0.012810720733231501,-0.8090311749103889,0.47895889889969556,1.2879900738100845,0.9757575757575757,0.09090909090909088,1.0871489908888883,1.0807436305222726
asset_rsi_4h,S5_btcRisk_x_regimeUp,1,60,100,-0.578705360962336,0.49570385067869305,1.074409211641029,0.16666666666666666,0.18,0.013333333333333336,-0.8246799639449196,0.442617836433671,1.2672978003785906,0.9030303030303028,-0.23636363636363633,1.074409211641029,1.0677425449743625
asset_vol_4h,S5_btcRisk_x_regimeUp,7,148,155,-0.8990327410281079,0.16780171181992723,1.0668344528480351,0.04054054054054054,0.17419354838709677,0.13365300784655623,-0.9991875883659657,0.04405536836574743,1.0432429567317132,0.7333333333333332,0.8909090909090909,1.0668344528480351,1.000007948924757
asset_rsi_4h,S3_funding_x_oi,7,291,178,-0.4413194318530123,0.6249905445434609,1.0663099763964732,0.16494845360824742,0.20786516853932585,0.04291671493107843,-0.6819065736588769,0.49987287550277054,1.1817794491616473,0.8909090909090909,0.2727272727272727,1.0663099763964732,1.044851618930934
vol_prob_low_1d,S3_funding_x_oi,4,106,67,1.004975287811972,-0.04089445938828196,-1.045869747200254,0.22641509433962265,0.16417910447761194,-0.062235989862010704,0.9846252636453591,-0.24914508687762554,-1.2337703505229847,-0.06666666666666667,0.2833333333333333,1.045869747200254,-1.0147517522692486
eth_macd_hist_4h,S1_regime_code_1d,1,67,105,-0.45780186744142776,0.5848677155953581,1.0426695830367858,0.208955223880597,0.17142857142857143,-0.03752665245202558,-0.7561632758560044,0.4578386605064413,1.2140019363624457,0.6606060606060605,0.0303030303030303,1.0426695830367858,1.0614329092627985
rs_pct,S1_regime_code_1d,1,312,252,-0.7234855797296476,0.3154929412946906,1.038978521024338,0.1346153846153846,0.25793650793650796,0.12332112332112335,-0.948511109237147,0.1621520843390101,1.110663193576157,0.9030303030303028,0.49090909090909085,1.038978521024338,0.9773179593637764
asset_rsi_4h,S1_regime_code_1d,2,258,160,-0.41880283191940565,0.6100683858400361,1.0288712177594417,0.17829457364341086,0.175,-0.0032945736434108752,-0.7002809176422504,0.5326398155786766,1.232920733220927,0.6242424242424242,-0.5653521556224601,1.0288712177594417,1.0305185045811471
gap_from_1d_ma,S1_regime_code_1d,0,67,176,-0.17546349658867022,0.8410347948546936,1.0164982914433638,0.19402985074626866,0.1534090909090909,-0.04062075983717775,-0.3766506764794965,0.7508085166005644,1.1274591930800608,0.9030303030303028,-0.4787878787878787,1.0164982914433638,1.0368086713619526
rs_pct,S5_btcRisk_x_regimeUp,6,142,90,-0.7580669757408457,0.2182444962350486,0.9763114719758943,0.07746478873239436,0.2,0.12253521126760565,-0.8861119185214084,0.09704641420179193,0.9831583327232003,0.9272727272727272,0.7333333333333332,0.9763114719758943,0.9150438663420914
