feature,scope,n_months,mean_delta,std_delta,frac_pos
vol_mult,RISK_ON_1,17,-0.18271372174904646,0.5461728991135301,0.42857142857142855
funding_abs,RISK_ON_1,15,-0.25220639222690827,1.090498799042234,0.3333333333333333
eth_macd_hist_slope_4h,RISK_ON_1,10,-0.3058146849588453,2.0244445001707048,0.5384615384615384
don_dist_atr,RISK_ON_1,18,-0.5177976956610465,1.5092012008173028,0.3333333333333333
vol_prob_low_1d,RISK_ON_1,5,-0.8316600233228225,1.3364510187919911,0.06666666666666667
btc_trend_slope,RISK_ON_1,0,,,0.0
btc_vol_regime_level,RISK_ON_1,0,,,0.0
eth_funding_rate,RISK_ON_1,0,,,0.0
eth_macd_hist_4h,RISK_ON_1,0,,,0.0
eth_trend_slope,RISK_ON_1,0,,,0.0
eth_vol_regime_level,RISK_ON_1,0,,,0.0
